@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

jenk-commit,3,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2131,251,28,22,6,0,78.571429,21.428571,0,0.475,0.258965,0.47308,62.483281,104.665554,24.188289,78.618408,-54.430119,0.863867,2.8078,-1.943933,8.554707,0.305525,970.170559,0.625,5,0.15,3,0.85,17,0.375,3,0.625,0.625,0.625,0.68125,0.785714,0.310714,0.689286,0.214286,0.785714,0.785714,0.785714,0.68125,18.441,0.001,18.081195,0.00183,481675,309310,60219,?
jenk-commit,3,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2131,251,28,17,11,0,60.714286,39.285714,0,0,0.36509,0.58419,88.089272,129.247776,24.188289,99.331796,-75.143507,0.863867,3.547564,-2.683697,0.794298,0.028368,90.079624,0.25,2,0.25,5,0.75,15,0.75,6,0.285714,0.25,0.266667,0.69375,0.607143,0.607143,0.392857,0.392857,0.591837,0.607143,0.598839,0.69375,18.455,0.002,18.011265,0.001871,481675,309310,60219,?
jenk-commit,3,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2131,251,28,22,6,0,78.571429,21.428571,0,0.432432,0.196812,0.411884,47.486964,91.126324,24.188289,49.540257,-25.351968,0.863867,1.769295,-0.905427,11.703184,0.417971,1327.232415,0.5,4,0.1,2,0.9,18,0.5,4,0.666667,0.5,0.571429,0.725,0.785714,0.385714,0.614286,0.214286,0.774892,0.785714,0.77551,0.725,18.47,0.002,18.10544,0.001869,481675,309310,60219,?
jenk-commit,3,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2132,251,28,21,7,0,75,25,0,0.449438,0.266961,0.449425,64.412506,99.431895,24.188289,35.058223,-10.869934,0.863867,1.252079,-0.388212,7.213239,0.257616,818.037627,0.75,6,0.25,5,0.75,15,0.25,2,0.545455,0.75,0.631579,0.83125,0.75,0.25,0.75,0.25,0.786096,0.75,0.759602,0.83125,18.454,0.002,18.005753,0.001774,481675,309310,60219,?
jenk-commit,3,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2132,251,28,22,6,0,78.571429,21.428571,0,0.382353,0.219242,0.431111,52.898812,95.380196,24.188289,41.454683,-17.266394,0.863867,1.480524,-0.616657,10.677028,0.381322,1210.858322,0.375,3,0.05,1,0.95,19,0.625,5,0.75,0.375,0.5,0.86875,0.785714,0.460714,0.539286,0.214286,0.779762,0.785714,0.75974,0.86875,18.395,0.002,18.034617,0.00184,481675,309310,60219,?
jenk-commit,3,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2132,251,28,24,4,0,85.714286,14.285714,0,0.652174,0.160251,0.375193,37.503001,80.222207,25.425517,38.840737,-13.415221,0.908054,1.387169,-0.479115,15.409901,0.550354,1757.317897,0.666667,6,0.052632,1,0.947368,18,0.333333,3,0.857143,0.666667,0.75,0.847953,0.857143,0.243108,0.756892,0.142857,0.857143,0.857143,0.851786,0.847953,18.513,0.002,18.064327,0.001858,481675,309310,60219,?
jenk-commit,3,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2133,251,28,21,7,0,75,25,0,0.371795,0.26907,0.483272,62.969724,103.331162,25.425517,48.5049,-23.079384,0.908054,1.732318,-0.824264,8.447603,0.3017,963.349759,0.444444,4,0.105263,2,0.894737,17,0.555556,5,0.666667,0.444444,0.533333,0.777778,0.75,0.410819,0.589181,0.25,0.738636,0.75,0.734146,0.777778,18.453,0.002,18.082514,0.001819,481675,309310,60219,?
jenk-commit,3,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2133,251,28,23,5,0,82.142857,17.857143,0,0.551282,0.181329,0.396313,42.435924,84.737933,25.425517,44.004838,-18.579321,0.908054,1.571601,-0.663547,13.981682,0.499346,1594.44634,0.555556,5,0.052632,1,0.947368,18,0.444444,4,0.833333,0.555556,0.666667,0.842105,0.821429,0.318505,0.681495,0.178571,0.823052,0.821429,0.810105,0.842105,18.511,0.002,18.066445,0.001843,481675,309310,60219,?
jenk-commit,3,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2133,252,27,22,5,0,81.481481,18.518519,0,0.571429,0.181015,0.400298,43.284628,87.663121,23.672131,40.293159,-16.621028,0.876746,1.492339,-0.615594,12.747706,0.472137,1448.066142,0.75,6,0.157895,3,0.842105,16,0.25,2,0.666667,0.75,0.705882,0.901316,0.814815,0.22271,0.77729,0.185185,0.823045,0.814815,0.817759,0.901316,18.551,0.002,18.102354,0.002204,481675,310427,59102,?
jenk-commit,4,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2134,251,28,24,4,0,85.714286,14.285714,0,0.672515,0.15278,0.372889,35.754608,79.729483,25.425517,40.246283,-14.820766,0.908054,1.437367,-0.529313,15.947859,0.569566,1818.665682,0.777778,7,0.105263,2,0.894737,17,0.222222,2,0.777778,0.777778,0.777778,0.836257,0.857143,0.184628,0.815372,0.142857,0.857143,0.857143,0.857143,0.836257,18.346,0.002,17.984213,0.001867,481675,309310,60219,?
jenk-commit,4,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2134,251,28,23,5,0,82.142857,17.857143,0,0.551282,0.162338,0.390697,37.991505,83.537152,25.425517,67.233383,-41.807866,0.908054,2.401192,-1.493138,15.014881,0.536246,1712.270528,0.555556,5,0.052632,1,0.947368,18,0.444444,4,0.833333,0.555556,0.666667,0.812865,0.821429,0.318505,0.681495,0.178571,0.823052,0.821429,0.810105,0.812865,19.281,0.002,18.795562,0.001795,481675,309310,60219,?
